userid,vertexid,value
86,1,39.0
43,2,30.0
39,3,38.0
92,4,38.0
76,5,34.0
61,6,38.0
90,7,40.0
62,8,39.0
96,9,38.0
57,10,32.0
7,11,37.0
37,12,40.0
35,13,38.0
10,14,38.0
32,15,40.0
19,16,0.0
69,17,33.0
51,18,37.0
99,19,44.0
89,20,39.0
47,21,38.0
73,22,44.0
97,23,34.0
78,24,40.0
56,25,34.0
53,26,23.0
27,27,25.0
100,28,42.0
8,29,39.0
5,30,35.0
67,31,38.0
0,32,2.0
88,33,33.0
72,34,26.0
15,35,33.0
93,36,41.0
21,37,9.0
41,38,39.0
52,39,14.0
6,40,27.0
26,41,24.0
25,42,1.0
98,43,29.0
177,44,0.0
75,45,26.0
80,46,41.0
81,47,18.0
65,48,20.0
9,49,9.0
60,50,12.0
87,51,12.0
