userid,vertexid,value
1646,1,11.0
1767,2,0.0
1190,3,2.0
775,4,8.0
1541,5,39.0
64,6,7.0
864,7,16.0
1240,8,147.0
632,9,9.0
1753,10,97.0
2036,11,0.0
1516,12,22.0
950,13,9.0
529,14,0.0
1522,15,2.0
2243,16,0.0
1501,17,32.0
816,18,12.0
1001,19,7.0
1463,20,6.0
1973,21,4.0
172,22,5.0
1828,23,13.0
191,24,24.0
2246,25,42.0
1007,26,29.0
2149,27,13.0
1002,28,29.0
329,29,21.0
1383,30,22.0
1451,31,11.0
456,32,6.0
517,33,19.0
1604,34,45.0
1552,35,15.0
2212,36,90.0
368,37,10.0
2079,38,3.0
1076,39,96.0
129,40,6.0
2083,41,13.0
542,42,11.0
2164,43,12.0
18,44,89.0
1707,45,8.0
1846,46,0.0
1147,47,5.0
596,48,24.0
1128,49,0.0
315,50,1.0
1741,51,43.0
1087,52,8.0
2110,53,13.0
1968,54,19.0
929,55,7.0
1205,56,2.0
1948,57,189.0
1507,58,6.0
1509,59,50.0
1670,60,1.0
426,61,29.0
880,62,3.0
2284,63,7.0
1031,64,39.0
788,65,12.0
1518,66,25.0
886,67,71.0
271,68,89.0
668,69,3.0
114,70,11.0
2026,71,42.0
1226,72,5.0
2290,73,4.0
1505,74,46.0
65,75,69.0
494,76,0.0
123,77,1.0
653,78,37.0
560,79,102.0
817,80,1.0
1780,81,75.0
1599,82,0.0
2010,83,1.0
322,84,0.0
1787,85,12.0
623,86,45.0
1983,87,11.0
439,88,9.0
1388,89,28.0
179,90,16.0
1036,91,4.0
1312,92,11.0
1550,93,24.0
945,94,93.0
1734,95,19.0
1919,96,2.0
782,97,0.0
2024,98,0.0
1187,99,56.0
834,100,20.0
767,101,76.0
7,102,17.0
1658,103,19.0
1789,104,77.0
1492,105,12.0
1067,106,7.0
1496,107,0.0
1131,108,1.0
2141,109,0.0
2118,110,16.0
49,111,64.0
164,112,62.0
1086,113,9.0
50,114,6.0
2004,115,0.0
300,116,0.0
409,117,117.0
593,118,4.0
150,119,2.0
520,120,105.0
2054,121,0.0
888,122,124.0
216,123,2.0
506,124,28.0
1998,125,29.0
1097,126,10.0
2272,127,35.0
86,128,40.0
1348,129,2.0
1693,130,12.0
1332,131,3.0
996,132,1.0
947,133,20.0
334,134,48.0
135,135,41.0
196,136,120.0
454,137,1.0
1963,138,41.0
285,139,67.0
688,140,8.0
492,141,9.0
162,142,9.0
53,143,12.0
697,144,5.0
677,145,74.0
1110,146,20.0
906,147,0.0
238,148,20.0
607,149,32.0
1047,150,4.0
452,151,10.0
1298,152,80.0
2232,153,0.0
655,154,17.0
59,155,6.0
282,156,19.0
1751,157,32.0
354,158,47.0
132,159,0.0
1782,160,4.0
1711,161,20.0
27,162,3.0
900,163,8.0
620,164,69.0
557,165,121.0
113,166,119.0
2217,167,42.0
1758,168,72.0
1010,169,5.0
1322,170,13.0
1151,171,8.0
968,172,8.0
1419,173,12.0
1674,174,39.0
1546,175,1.0
923,176,9.0
988,177,58.0
1964,178,12.0
1621,179,4.0
1908,180,0.0
713,181,3.0
1346,182,63.0
2237,183,7.0
1034,184,18.0
275,185,2.0
1638,186,1.0
1895,187,0.0
1809,188,13.0
1243,189,34.0
778,190,1.0
1989,191,41.0
585,192,0.0
610,193,5.0
857,194,27.0
1784,195,111.0
309,196,26.0
1258,197,15.0
29,198,96.0
624,199,93.0
1912,200,0.0
75,201,23.0
1387,202,31.0
2269,203,16.0
46,204,15.0
1089,205,44.0
1210,206,0.0
1304,207,20.0
284,208,74.0
475,209,71.0
423,210,12.0
519,211,13.0
2039,212,6.0
1264,213,11.0
1328,214,58.0
700,215,0.0
513,216,0.0
427,217,3.0
508,218,14.0
1334,219,1.0
2129,220,3.0
574,221,0.0
1819,222,13.0
1681,223,26.0
68,224,18.0
1872,225,10.0
263,226,7.0
845,227,95.0
2006,228,16.0
1359,229,21.0
1768,230,24.0
373,231,3.0
770,232,18.0
822,233,31.0
1746,234,10.0
1397,235,0.0
849,236,86.0
434,237,4.0
1587,238,11.0
1933,239,3.0
1050,240,1.0
695,241,13.0
2030,242,4.0
895,243,22.0
1907,244,3.0
1856,245,2.0
87,246,2.0
1015,247,10.0
102,248,57.0
2008,249,87.0
2219,250,23.0
1844,251,11.0
1435,252,9.0
1635,253,15.0
2160,254,14.0
2,255,8.0
592,256,1.0
1664,257,1.0
1723,258,6.0
1416,259,22.0
1565,260,17.0
1452,261,5.0
380,262,2.0
885,263,8.0
1561,264,41.0
955,265,7.0
1244,266,4.0
1070,267,3.0
753,268,1.0
430,269,0.0
232,270,9.0
808,271,1.0
1178,272,0.0
689,273,3.0
369,274,86.0
1958,275,4.0
149,276,4.0
2021,277,19.0
914,278,40.0
711,279,0.0
498,280,4.0
2207,281,0.0
521,282,2.0
737,283,6.0
652,284,26.0
657,285,23.0
14,286,26.0
1943,287,30.0
1017,288,5.0
2161,289,4.0
2271,290,0.0
1586,291,3.0
1357,292,0.0
739,293,3.0
194,294,5.0
844,295,26.0
820,296,47.0
2104,297,4.0
756,298,0.0
36,299,109.0
2226,300,8.0
1629,301,7.0
1921,302,87.0
286,303,4.0
970,304,0.0
741,305,21.0
