userid,vertexid,value
1646,1,22.0
1767,2,20.0
1190,3,27.0
775,4,4.0
1541,5,254.0
64,6,12.0
864,7,59.0
1240,8,94.0
632,9,23.0
1753,10,12.0
2036,11,8.0
1516,12,22.0
950,13,11.0
529,14,18.0
1522,15,19.0
2243,16,7.0
1501,17,26.0
816,18,13.0
1001,19,20.0
1463,20,44.0
1973,21,22.0
172,22,32.0
1828,23,37.0
191,24,38.0
2246,25,29.0
1007,26,44.0
2149,27,24.0
1002,28,41.0
329,29,16.0
1383,30,16.0
1451,31,33.0
456,32,16.0
517,33,28.0
1604,34,16.0
1552,35,57.0
2212,36,14.0
368,37,46.0
2079,38,42.0
1076,39,55.0
129,40,10.0
2083,41,31.0
542,42,32.0
2164,43,48.0
18,44,31.0
1707,45,39.0
1846,46,19.0
1147,47,30.0
596,48,24.0
1128,49,4.0
315,50,3.0
1741,51,27.0
1087,52,41.0
2110,53,20.0
1968,54,19.0
929,55,3.0
1205,56,23.0
1948,57,53.0
1507,58,46.0
1509,59,44.0
1670,60,26.0
426,61,35.0
880,62,7.0
2284,63,60.0
1031,64,23.0
788,65,25.0
1518,66,75.0
886,67,41.0
271,68,27.0
668,69,12.0
114,70,25.0
2026,71,18.0
1226,72,19.0
2290,73,47.0
1505,74,126.0
65,75,58.0
494,76,33.0
123,77,41.0
653,78,57.0
560,79,79.0
817,80,10.0
1780,81,55.0
1599,82,14.0
2010,83,13.0
322,84,16.0
1787,85,27.0
623,86,16.0
1983,87,19.0
439,88,22.0
1388,89,50.0
179,90,84.0
1036,91,68.0
1312,92,32.0
1550,93,18.0
945,94,17.0
1734,95,18.0
1919,96,27.0
782,97,32.0
2024,98,12.0
1187,99,48.0
834,100,52.0
767,101,53.0
7,102,17.0
1658,103,37.0
1789,104,27.0
1492,105,56.0
1067,106,36.0
1496,107,10.0
1131,108,8.0
2141,109,9.0
2118,110,23.0
49,111,33.0
164,112,32.0
1086,113,80.0
50,114,79.0
2004,115,13.0
300,116,41.0
409,117,32.0
593,118,10.0
150,119,43.0
520,120,41.0
2054,121,16.0
888,122,66.0
216,123,28.0
506,124,37.0
1998,125,17.0
1097,126,14.0
2272,127,15.0
86,128,55.0
1348,129,20.0
1693,130,82.0
1332,131,19.0
996,132,8.0
947,133,13.0
334,134,17.0
135,135,85.0
196,136,61.0
454,137,122.0
1963,138,70.0
285,139,65.0
688,140,17.0
492,141,13.0
162,142,29.0
53,143,14.0
697,144,21.0
677,145,27.0
1110,146,17.0
906,147,10.0
238,148,24.0
607,149,21.0
1047,150,30.0
452,151,24.0
1298,152,27.0
2232,153,24.0
655,154,12.0
59,155,61.0
282,156,17.0
1751,157,38.0
354,158,13.0
132,159,3.0
1782,160,24.0
1711,161,45.0
27,162,39.0
900,163,13.0
620,164,44.0
557,165,22.0
113,166,53.0
2217,167,67.0
1758,168,24.0
1010,169,22.0
1322,170,16.0
1151,171,16.0
968,172,23.0
1419,173,47.0
1674,174,24.0
1546,175,14.0
923,176,18.0
988,177,31.0
1964,178,19.0
1621,179,16.0
1908,180,19.0
713,181,23.0
1346,182,6.0
2237,183,67.0
1034,184,25.0
275,185,21.0
1638,186,93.0
1895,187,48.0
1809,188,23.0
1243,189,20.0
778,190,14.0
1989,191,8.0
585,192,2.0
610,193,57.0
857,194,23.0
1784,195,25.0
309,196,60.0
1258,197,16.0
29,198,93.0
624,199,20.0
1912,200,14.0
75,201,74.0
1387,202,36.0
2269,203,25.0
46,204,19.0
1089,205,31.0
1210,206,9.0
1304,207,63.0
284,208,71.0
475,209,68.0
423,210,32.0
519,211,45.0
2039,212,17.0
1264,213,19.0
1328,214,32.0
700,215,31.0
513,216,3.0
427,217,15.0
508,218,50.0
1334,219,23.0
2129,220,30.0
574,221,6.0
1819,222,44.0
1681,223,51.0
68,224,7.0
1872,225,20.0
263,226,13.0
845,227,46.0
2006,228,33.0
1359,229,17.0
1768,230,21.0
373,231,14.0
770,232,24.0
822,233,73.0
1746,234,17.0
1397,235,4.0
849,236,212.0
434,237,34.0
1587,238,63.0
1933,239,17.0
1050,240,11.0
695,241,56.0
2030,242,18.0
895,243,27.0
1907,244,19.0
1856,245,14.0
87,246,54.0
1015,247,14.0
102,248,53.0
2008,249,63.0
2219,250,34.0
1844,251,38.0
1435,252,16.0
1635,253,43.0
2160,254,51.0
2,255,15.0
592,256,17.0
1664,257,7.0
1723,258,32.0
1416,259,29.0
1565,260,26.0
1452,261,10.0
380,262,9.0
885,263,72.0
1561,264,18.0
955,265,29.0
1244,266,28.0
1070,267,7.0
753,268,18.0
430,269,38.0
232,270,16.0
808,271,25.0
1178,272,15.0
689,273,17.0
