userid,venueid,timestamp
Gared,Castle Black,2020-01-01T00:01:45.0
Waymar_Royce,Castle Black,2020-01-01T00:01:45.0
Jeor_Mormont,Castle Black,2020-01-01T02:17:17.0
Pypar,Castle Black,2020-01-01T02:17:17.0
Grenn,Castle Black,2020-01-01T02:17:17.0
Rast,Castle Black,2020-01-01T02:17:17.0
Rast,Castle Black,2020-01-01T02:20:41.0
Grenn,Castle Black,2020-01-01T02:20:41.0
Pypar,Castle Black,2020-01-01T02:20:41.0
Yoren,Castle Black,2020-01-01T02:39:45.0
Pypar,Castle Black,2020-01-01T02:44:40.0
Grenn,Castle Black,2020-01-01T02:44:40.0
Rast,Castle Black,2020-01-01T02:44:40.0
Jeor_Mormont,Castle Black,2020-01-01T02:44:40.0
Grenn,Castle Black,2020-01-01T03:00:14.0
Pypar,Castle Black,2020-01-01T03:00:14.0
Rast,Castle Black,2020-01-01T03:00:14.0
Pypar,Castle Black,2020-01-01T03:25:31.0
Grenn,Castle Black,2020-01-01T03:25:31.0
Rast,Castle Black,2020-01-01T03:25:31.0
Rast,Castle Black,2020-01-01T03:25:57.0
Grenn,Castle Black,2020-01-01T03:25:57.0
Pypar,Castle Black,2020-01-01T03:25:57.0
Ghost,Castle Black,2020-01-01T03:25:57.0
Rast,Castle Black,2020-01-01T03:27:15.0
Pypar,Castle Black,2020-01-01T03:27:15.0
Grenn,Castle Black,2020-01-01T03:27:15.0
Will,The Haunted Forest,2020-01-01T00:03:24.0
Will,The Haunted Forest,2020-01-01T00:03:31.0
Will,The Haunted Forest,2020-01-01T00:03:38.0
Will,The Haunted Forest,2020-01-01T00:05:36.0
Will,The Haunted Forest,2020-01-01T00:05:41.0
Will,The Haunted Forest,2020-01-01T00:05:58.0
Will,The Haunted Forest,2020-01-01T00:06:39.0
Will,The Haunted Forest,2020-01-01T00:06:49.0
Will,The Haunted Forest,2020-01-01T00:07:45.0
Robb_Stark,Winterfell,2020-01-01T00:10:56.0
Rickon_Stark,Winterfell,2020-01-01T00:10:56.0
Sansa_Stark,Winterfell,2020-01-01T00:10:56.0
Theon_Greyjoy,Winterfell,2020-01-01T00:10:56.0
Rodrik_Cassel,Winterfell,2020-01-01T00:10:56.0
Robb_Stark,Winterfell,2020-01-01T00:21:57.0
