userid,vertexid,value
Gared,1,7.0
Waymar_Royce,2,7.0
Will,3,19.0
Wight_Wildling_Girl,4,14.0
White_Walker,5,54.0
Jon_Snow,6,133.0
Bran_Stark,7,116.0
Robb_Stark,8,74.0
Eddard_Stark,9,67.0
Catelyn_Stark,10,82.0
Rickon_Stark,11,45.0
Sansa_Stark,12,160.0
Arya_Stark,13,182.0
Theon_Greyjoy,14,119.0
Rodrik_Cassel,15,57.0
Septa_Mordane,16,37.0
Jory_Cassel,17,42.0
Grey_Wind,18,43.0
Lady,19,21.0
Nymeria,20,27.0
Summer,21,56.0
Shaggydog,22,33.0
Ghost,23,90.0
Jon_Arryn,24,2.0
Cersei_Lannister,25,141.0
Jaime_Lannister,26,144.0
Maester_Luwin,27,36.0
Joffrey_Baratheon,28,87.0
Sandor_Clegane,29,131.0
Hodor,30,58.0
Robert_Baratheon,31,45.0
Myrcella_Baratheon,32,54.0
Tommen_Baratheon,33,89.0
Tyrion_Lannister,34,172.0
Ros,35,56.0
Daenerys_Targaryen,36,123.0
Viserys_Targaryen,37,14.0
Illyrio_Mopatis,38,21.0
Khal_Drogo,39,18.0
Qotho,40,14.0
Benjen_Stark,41,35.0
Jorah_Mormont,42,116.0
Drogon,43,88.0
Rhaegal,44,77.0
Viserion,45,70.0
Doreah,46,22.0
Irri,47,22.0
Jhiqui,48,9.0
Rast,49,30.0
Catspaw_Assassin,50,8.0
Ilyn_Payne,51,45.0
Mycah,52,11.0
Royal_Steward,53,25.0
Lord_Varys,54,124.0
Grand_Maester_Pycelle,55,101.0
Renly_Baratheon,56,33.0
Petyr_Baelish,57,99.0
Old_Nan,58,10.0
Jeor_Mormont,59,26.0
Alliser_Thorne,60,45.0
Pypar,61,32.0
Grenn,62,45.0
Barristan_Selmy,63,68.0
Lancel_Lannister,64,63.0
Rakharo,65,14.0
Yoren,66,44.0
Maester_Aemon,67,31.0
Syrio_Forel,68,18.0
Three-Eyed_Raven,69,31.0
Samwell_Tarly,70,98.0
Janos_Slynt,71,68.0
Hugh_of_the_Vale,72,16.0
Gendry,73,78.0
Tobho_Mott,74,16.0
Gregor_Clegane,75,91.0
Marillion,76,18.0
Bronn,77,105.0
Loras_Tyrell,78,77.0
Vardis_Egen,79,7.0
Lysa_Arryn,80,10.0
Robin_Arryn,81,29.0
Mord,82,7.0
Mhaegen,83,20.0
Osha,84,30.0
Stiv,85,5.0
Wallen,86,5.0
Dothraki_Crone,87,10.0
Rhaego,88,10.0
Beric_Dondarrion,89,51.0
Joss,90,11.0
Tywin_Lannister,91,69.0
Armeca,92,23.0
Little_Bird,93,10.0
Wine_Merchant,94,8.0
Othell_Yarwyck,95,32.0
Jaremy_Rykker,96,10.0
Tomard,97,11.0
Varly,98,15.0
Vayon_Poole,99,19.0
Meryn_Trant,100,91.0
Red_Keep_Stableboy,101,18.0
Othor,102,9.0
Jafer_Flowers,103,9.0
Shagga,104,8.0
