userid,vertexid,value
Gared,1,2.0
Waymar_Royce,2,2.0
Will,3,4.0
Wight_Wildling_Girl,4,1.0
White_Walker,5,12.0
Jon_Snow,6,26.0
Bran_Stark,7,16.0
Robb_Stark,8,11.0
Eddard_Stark,9,7.0
Catelyn_Stark,10,15.0
Rickon_Stark,11,4.0
Sansa_Stark,12,18.0
Arya_Stark,13,22.0
Theon_Greyjoy,14,19.0
Rodrik_Cassel,15,10.0
Septa_Mordane,16,2.0
Jory_Cassel,17,4.0
Grey_Wind,18,6.0
Lady,19,2.0
Nymeria,20,4.0
Summer,21,9.0
Shaggydog,22,4.0
Ghost,23,10.0
Jon_Arryn,24,1.0
Cersei_Lannister,25,4.0
Jaime_Lannister,26,20.0
Maester_Luwin,27,2.0
Joffrey_Baratheon,28,3.0
Sandor_Clegane,29,19.0
Hodor,30,9.0
Robert_Baratheon,31,5.0
Myrcella_Baratheon,32,4.0
Tommen_Baratheon,33,2.0
Tyrion_Lannister,34,26.0
Ros,35,2.0
Daenerys_Targaryen,36,29.0
Viserys_Targaryen,37,3.0
Illyrio_Mopatis,38,2.0
Khal_Drogo,39,7.0
Qotho,40,5.0
Benjen_Stark,41,6.0
Jorah_Mormont,42,25.0
Drogon,43,24.0
Rhaegal,44,18.0
Viserion,45,16.0
Doreah,46,6.0
Irri,47,6.0
Jhiqui,48,2.0
Rast,49,5.0
Catspaw_Assassin,50,1.0
Ilyn_Payne,51,3.0
Mycah,52,1.0
Royal_Steward,53,1.0
Lord_Varys,54,12.0
Grand_Maester_Pycelle,55,1.0
Renly_Baratheon,56,3.0
Petyr_Baelish,57,13.0
Old_Nan,58,1.0
Jeor_Mormont,59,4.0
Alliser_Thorne,60,1.0
Pypar,61,3.0
Grenn,62,5.0
Barristan_Selmy,63,7.0
Lancel_Lannister,64,2.0
Rakharo,65,6.0
Yoren,66,5.0
Maester_Aemon,67,1.0
Syrio_Forel,68,1.0
Three-Eyed_Raven,69,6.0
Samwell_Tarly,70,18.0
Janos_Slynt,71,2.0
Hugh_of_the_Vale,72,1.0
Gendry,73,15.0
Tobho_Mott,74,1.0
Gregor_Clegane,75,3.0
